Chủ đề	câu 1	câu 2	điểm
Sức Khỏe	người có sức_khỏe thì_có cả trăm_ngàn ước_mơ người không_có sức_khỏe thì chỉ có một ước_mơ duy_nhất là sức_khỏe	sức_khỏe là trạng_thái hài_hòa hoàn_toàn của cơ_thể trí_óc và tinh_thần khi một người thoát_khỏi những khuyết_tật về thể_chất và những phiền_nhiễu về tinh_thần thì cánh cổng tâm_hồn sẽ mở ra	3
Sức Khỏe	bạn có_thể khẳng_định sức_khỏe trong suy_nghĩ nhưng nếu bạn trao_cho suy_nghĩ ấy sự_lo_âu nỗi sợ_hãi và bất_hòa suy_nghĩ của bạn sẽ tạo_ra sự bất_hòa thứ quyết_định kết_quả_là điều mà ta trao_cho suy_nghĩ của mình chứ không_phải là điều mà ta khẳng_định trong suy_nghĩ	hãy dành tất_cả buổi_chiều cho tập_luyện và nghỉ_ngơi thứ cũng cần_thiết như đọc sách tôi sẽ nói việc đó còn cần_thiết hơn bởi sức_khỏe đáng_giá hơn học_tập	3
Sức Khỏe	tiền_bạc con_cái quyền_lực chỉ là nhất_thời vinh_quang là của quá_khứ còn sức_khỏe sẽ mãi là của bạn	để có sức_khỏe tốt hãy ăn_nhẹ thở sâu sống có_chừng_mực nuôi_dưỡng niềm_vui và gìn_giữ những mối quan_tâm trong cuộc_sống	1
Sức Khỏe	sức_khỏe không_phải là thứ chúng_ta có_thể mua tuy_nhiên nó có_thể_là một tài_khoản tiết_kiệm cực_kỳ giá_trị	sức_khỏe là thứ mà ta không_nhìn_thấy_được là yếu_tố sống_còn của mỗi con_người hãy nâng_niu quý_trọng sức_khỏe đừng để khi mất rồi mới thấy hối_tiếc	3
Sức Khỏe	sức_khỏe tốt và trí_tuệ minh_mẫn là hai điều hạnh_phúc nhất của cuộc_đời	sức_khỏe chính là sự_giàu_có hãy lắng_nghe để hiểu những điều cơ_thể đang cố nói với bạn	3
Tin Tức	sau cơn_mưa dông chiều phần còn_lại của cây cô_đơn hồ_tây đã gẫy nốt	căn nhà của ông_bà là căn nhà cấp_bốn mộc_mạc mà thân_thương nhiều năm qua_đi căn nhà không chỉ là nơi che nắng che mưa mà nó còn là cả một tuổi_thơ của em	0
Tin Tức	nhà thì bán bị người_ta đuổi_đi và đang tá_túc tạm tại nhà bà nội mẹ bạn ấy đang đi bán cơm thuê cho người_ta trúc anh là trụ_cột chính nhưng đang bệnh cũng không đi làm được	mẹ em là một người rất chu_đáo nên gian bếp nhỏ luôn được chăm_sóc cẩn_thận	0
Sức Khỏe	một giấc_ngủ ngon hoặc mười phút nói xả hoặc một ly kem sô cô la hoặc cả ba thứ đó là liều thuốc tốt	sự_sống là thứ không khi nào cảm_thấy chán_nản	2
Sức Khỏe	mỉm_cười là cách tốt_nhất để đối_mặt_với mọi vấn_đề để đè_bẹp mọi nỗi sợ_hãi và khoả_lấp mọi nỗi đau	bạn nên tin_rằng món_quà quý_giá nhất mà bạn có_thể tặng_cho gia_đình bạn và cả thế_giới này đó chính là sức_khỏe của bản_thân bạn	2
Sức Khỏe	bớt lo bớt sầu đừng phiền đừng não là một_cách làm_cho tâm ta bớt được nhiều bệnh	liều_thuốc tốt_nhất cho cơ_thể là một tâm_hồn tĩnh_lặng	1
Sức Khỏe	người_ta có_thể sống lâu gấp_đôi nếu không bỏ nửa đầu của cuộc_đời để hình_thành những thói_quen sẽ rút_ngắn nửa_đời còn lại	ngoài kiến_thức bạn cần sức_khỏe tốt và để có_được nó bạn cần chơi thể_thao	1
Sức Khỏe	hạnh_phúc cũng như sức_khỏe khi người_ta không_để_ý đến nó tức_là đang có nó đó	cơ_thể yếu_đuối khiến tinh_thần trở_nên yếu_ớt	1
Sức Khỏe	bạn có yêu_đời không vậy đừng phung_phí thời_gian vì chất_liệu cuộc_sống được làm_bằng thời_gian	một_nửa sức_khỏe của con_người là trong tâm_lý	1
Sức Khỏe	người kiếm cớ vin_vào những lý_do không_có thời_gian rèn_luyện cơ_thể sớm_muộn sẽ phải bỏ thời_gian ra để đi chữa bệnh	tiền_bạc con_cái quyền_lực chỉ là nhất_thời vinh_quang là của quá_khứ còn sức_khỏe sẽ mãi là của bạn	1
Sức Khỏe	bạn có yêu_đời không vậy đừng phung_phí thời_gian vì chất_liệu cuộc_sống được làm_bằng thời_gian	sự_sống không bao_giờ chán_nản	1
Sức Khỏe	hãy chăm_sóc bản_thân đó là nơi duy_nhất bạn có để sống	hãy chăm_sóc bản_thân đó là nơi duy_nhất bạn có để sống hãy tập_thể_dục hàng ngày	4
Sức Khỏe	giấc_ngủ là sợi xích vàng nối giữa sức_khỏe và cơ_thể chúng_ta	cái bệnh nặng nhất của đời_sống ấy là sự buồn nản	1
Tin Tức	tại một hội_thảo mới được cơ_quan đại_diện liên_hiệp_quốc tại vn và ban tư_tưởng văn_hóa trung_ương tổ_chức tại đà_nẵng bàn_về tuyên_truyền phòng_chống lây_nhiễm hiv các cơ_quan_chức_năng đã thừa_nhận ngày đầu_tiên việc tuyên_truyền về hiv đã bị gắn_với hình_ảnh của tệ_nạn xã_hội là rất sai_lầm	tại hội_thảo mới được cơ_quan đại_diện liên_hiệp_quốc tại vn và ban tư_tưởng văn_hóa trung_ương tổ_chức tại đà_nẵng bàn_về tuyên_truyền phòng_chống lây_nhiễm hiv.	3
Tin Tức	đến giờ đã 20 năm trôi_qua kể từ khi người_ta phát_hiện virus hiv cộng_đồng vẫn_cứ định_kiến hiv đâu_đó trong cái góc khuất của mại_dâm và ma_túy	trên các sân_khấu thông_tin_cổ_động bây_giờ hiv vẫn_còn được nhìn bằng hình_ảnh áo_choàng đen tử_thần với cái lưỡi_hái đi_cùng_với mại_dâm và ống kim chích	1
Tin Tức	hàng bánh_mì của vợ anh chỉ nhận_được những câu nói của bà_con xung_quanh như thôi để_cho chị 2000 đồng chứ thật_tình không dám ăn bánh của chị	cả nhà anh trông vào đồng_lương trợ_cấp người mất_sức lao_động 330000 đồng tháng nuôi một em_gái bị_tâm_thần hai đứa con và đứa cháu nhỏ đã 18 tháng tuổi	0
Tin Tức	bác_sĩ trần_văn nhật giám_đốc trung_tâm y_học dự_phòng kể thêm trung_tâm tư_vấn phòng_chống hiv aids của thành_phố đã về hòa_châu nơi gia_đình anh diên đang sống tổ_chức hai đêm nói_chuyện về sự lây_truyền của hiv và cách phòng_tránh	bác_sĩ nói cả về chuyện nhà anh diên đang nuôi thằng_cháu mà bố_mẹ nó đã_chết vì aids nhưng đến nay đã_qua nhiều lần xét_nghiệm và vẫn tiếp_tục theo_dõi chặt nhưng chưa_có kết_luận cháu bé 24 tháng tuổi này cũng nhiễm hiv.	1
Tin Tức	chuyện hiv lây_nhiễm theo ba đường nào bây_giờ dân xã hòa_châu ai_cũng_biết nhưng người_ta vẫn ơn_ớn và vẫn_cứ tránh không tiếp_xúc_với bất_cứ ai trong gia_đình này	hiv là bệnh_truyền_nhiễm chỉ lây_nhiễm theo ba đường nào bây_giờ dân xã hòa_châu ai_cũng_biết nhưng người_ta vẫn ơn_ớn và vẫn_cứ tránh không tiếp_xúc_với bất_cứ ai trong gia_đình này	4
Tin Tức	sự_phân_biệt đối_xử với người nhiễm hiv đã đẩy cộng_đồng lâm_vào cuộc_chiến với kẻ_thù giấu_mặt thạc_sĩ chu_quốc_ân kết_luận việc bây_giờ phải làm là tuyên_truyền để cộng_đồng hiểu đúng về đại_dịch hiv chứ đừng kỳ_thị và chạy trốn	sự_phân_biệt đối_xử với người nhiễm hiv đã đẩy cộng_đồng lâm_vào cuộc_chiến với kẻ_thù giấu_mặt thạc_sĩ chu_quốc_ân kết_luận việc bây_giờ phải làm là tuyên_truyền để cộng_đồng hiểu đúng về đại_dịch hiv chứ đừng kỳ_thị và chạy trốn	4
Tin Tức	động_vật rừng quí_hiếm vẫn được âm_thầm đưa_về thành_phố với nhiều phương_thức thủ_đoạn tinh_vi mà lực_lượng chức_năng không_thể kiểm_soát hết	ngày_càng nhiều thủ_đoạn tinh_vi để săn_bắt động_vật quý_hiếm để lọt_qua các tai_mắt của lực_lượng kiểm_soát	3
Tin Tức	hương rừng xuất_hiện nhiều nơi từ nội_thành_ra ngoại_thành nhưng ấn_tượng nhất có_lẽ là hương rừng góc_đường hai_bà_trưng nguyễn_đình_chiểu quận còn một quán hương rừng khác nằm_trên đường nguyễn_trãi quận cũng nổi_tiếng bán hàng độc	người_ta ước_tính chỉ riêng hương rừng này mỗi_ngày có hàng trăm con thú bị thọc huyết	0
Tin Tức	chủ_quán đưa_ra một thực_đơn gồm các món cá của miền tây nhưng lại giới_thiệu có chồn nhím heo_rừng cúi rừng ... các anh có nhậu không	chủ_quán tươi_cười giải_thích đang_có chiến_dịch nên không dám ghi trong thực_đơn ...	2
Tin Tức	bà bật_mí có loại mua về từ_đường campuchia có loại từ rừng bình_phước	thú từ campuchia về trông đừ lắm ăn_không ngon bằng từ rừng bình_phước	2
Tin Tức	ông vũ_đình_trúc trưởng_phòng pháp_chế chi_cục kiểm_lâm bình_phước cho_biết ngành kiểm_lâm tỉnh đã kiểm_tra những điểm buôn_bán động_vật hoang_dã nhưng không_thể kiểm_soát hết được	trưởng_phòng pháp_chế chi_cục kiểm_lâm bình_phước cho_biết ngành kiểm_lâm tỉnh đã kiểm_tra những điểm buôn_bán động_vật hoang_dã nhưng không_thể kiểm_soát hết được và còn nhiều sai_phạm	3
Tin Tức	ngay tại cửa_hầm chen lẫn trong bóng áo xanh của những người_thợ làm hầm sông_đà đang tất_bật chuẩn_bị cho buổi_lễ thông hầm trọng_đại là những người_dân từ đà_nẵng lên đang nói cười vui_vẻ và háo_hức nhìn ngắm đường_hầm	tại cuối hầm chen lẫn trong bóng áo xanh của những người_thợ làm hầm sông_đà đang tất_bật chuẩn_bị cho buổi_lễ thông hầm trọng_đại là những người_dân từ đà_nẵng lên đang nói cười vui_vẻ và háo_hức nhìn ngắm đường_hầm	2
Tin Tức	anh hoàng_sĩ hải phó_giám_đốc liên_danh đông_ah sông_đà phụ_trách việc thi_công tại công_trình đường_hầm phía_nam nói vui từ nửa tháng nay ngày nào cũng có hàng chục người_dân đà_nẵng và các tài_xế lái_xe đường dài_đến năn_nỉ xin_được vào tham_quan bên_trong nhưng vì an_toàn lao_động nên chúng_tôi không_thể đồng_ý	phó_giám_đốc liên_danh đông_ah sông_đà phụ_trách việc thi_công tại công_trình đường_hầm phía_nam nói rằng từ nửa tháng nay ngày nào cũng có hàng chục người_dân đà_nẵng và các tài_xế lái_xe đường dài_đến năn_nỉ xin_được vào tham_quan bên_trong nhưng vì an_toàn lao_động nên chúng_tôi không_thể đồng_ý	3
Tin Tức	khu du_lịch thác_mơ cũng vừa ra_đời ốc_đảo hói mít hẻo_lánh dưới chân núi răng_cưa	một khu resort khá đẹp khác nữa của khách_sạn công_đoàn đang xây_dựng và một khu du_lịch trên bán_đảo đầm lập an đang giai_đoạn xúc_tiến	0
Tin Tức	bất_ngờ một hang_động nằm_im hàng ngàn năm trên dãy núi đá_vôi thuộc xã vĩnh_an huyện_vĩnh_lộc thanh_hóa được các bạn trẻ trong xã phát_hiện	lập_tức những thông_tin về một hang_động tầm_cỡ quốc_gia được lan_truyền làm_xôn_xao cả cái làng quê nghèo vào bậc nhất huyện này	1
Tin Tức	không ai_bảo nhưng mỗi người đều vốc một ngụm nước tiên uống hoặc ngửa mặt hứng những giọt nước để hưởng cái mát lạnh tuyệt dịu của thiên_nhiên và mọi_người đều tận_hưởng và hòa vào thiên_nhiên	không ai_bảo nhưng mỗi người đều vốc một ngụm nước tiên uống hoặc ngửa mặt hứng những giọt nước để hưởng cái mát lạnh tuyệt dịu của thiên_nhiên	4
Tin Tức	toàn đã kể_lại câu_chuyện khá bất_ngờ tháng 2003 đoàn xã tổ_chức cho anh_em đi_du_lịch nhưng hiềm nỗi yếu tiền nên tôi bảo anh_em đi đâu cho xa nghe nói xã ta cũng có hang_động hàng ngàn năm ngay trên núi thung_vình thử đi dã_ngoại trên đó xem sao	năm 2003 đoàn xã tổ_chức cho anh_em đi_du_lịch nhưng hiềm nỗi yếu tiền nên tôi bảo anh_em đi đâu cho xa nghe nói xã ta cũng có hang_động hàng ngàn năm ngay trên núi thung_vình thử đi dã_ngoại trên đó xem sao	3
Tin Tức	động tiên_sơn chỉ cách thành_nhà_hồ 1397 di_tích văn_hóa đặc_sắc của khu_vực đông_nam_á khoảng km cách khu tượng đá đa_bút nổi_tiếng với những pho_tượng võ quan đứng canh ngôi mộ bà hoàng_thị ngọc_diễm vợ chúa trịnh_tùng	đây là địa_bàn có hơn 100 quần_thể di_tích lịch_sử văn_hóa của huyện di_tích vĩnh_lộc nổi_tiếng dày mật_độ di_tích nhất tỉnh thanh	1
Khoa học	những_hóa thạch càng cổ thì càng nằm sâu dưới các lớp đá	nhưng tất_cả sẽ trở_thành một bài_học đau_xót nếu ngay bây_giờ chính_quyền hai xã vĩnh_an vĩnh_minh không ra_tay ngăn_chặn những lò khai_thác_đá đang ngày_đêm thi nhau nổ mìn trên dãy thung_vình vì một lý_do đơn_giản tương_truyền hang_động tiên_sơn xuyên dài sang phía_đầu dãy núi thung_vình thuộc xã vĩnh_minh	2
Tin Tức	tân bị bắt sau cuộc_gọi gây_rối	tân bị bắt hà_nội sau cuộc_gọi gây_rối	4
Bản Tin	bản_tin hàng_đầu châu_á lúc 30 pm	bản_tin hàng_đầu châu 25 chiều	1
Thị Trường	giá dầu tiếp_tục tăng sau khi tăng châu	giá dầu tiếp_tục tăng châu	4
Tin Tức	quốc_hội nga cho_phép putin dùng quân_sự ukraine	tổng_thống obama cảnh_báo nga tránh xa ukraine	1
Tin Tức	pháp đe_dọa google phạt_tiền về quyền riêng_tư	google đe_dọa cảnh_cáo bạn về việc không_tuân_thủ quy_tắc tòa_án về vi_phạm quyền riêng_tư	1
Thị Trường	apple đăng_ký nhãn_hiệu iwatch	apple đăng_ký nhãn_hiệu iwatch tại nhật_bản	4
Tin Tức	thủ_tướng ấn_độ singh từ_chức sau bầu_cử 2014	thủ_tướng ấn_độ từ_chức	4
Tin Tức	summers từ_bỏ_cuộc đua giành chức_vụ fed	cổ_phiếu nổi_lên nhờ việc summers rút_khỏi cuộc đua vào fed	1
Xã Hội	người_biểu_tình thái_lan xông vào trụ_sở quân_đội	người_biểu_tình thái_lan xông_vào trụ_sở quân_đội hoàng_gia bangkok	4
Tin Tức	tokyo giành_chiến_thắng trong cuộc_đua đăng_cai thế vận_hội olympic 2020	tokyo đăng_cai thế vận_hội olympic 2020	3
Tin Tức	số người_chết vì bão philippines có_thể lên tới 7000	số người_chết vì bão philippines tăng lên trên 5000	3
Chính Trị	quốc_hội ukraine bãi_nhiệm tổng_thống	quốc_hội ukraine bỏ_phiếu bãi_nhiệm tổng_thống	4
Quân Sự	quân_đội thái_lan tuyên_bố_thiết quân_luật	quân_đội thái_lan tuyên_bố_thiết quân_luật phủ_nhận đảo_chính	3
Tin Tức	công_việc phá dỡ bắt_đầu tại sân vận_động don_valley	công_việc phá dỡ bắt_đầu tại sân vận_động	3
Tin Tức	hai người_chết sau khi máy_bay boeing 777 rơi xuống sân_bay san_francisco	tai_nạn máy_bay hạ_cánh xuống sân_bay san_francisco	2
Tin Tức	vụ nổ thành_phố peshawar của pakistan làm 14 người chết	vụ nổ thành_phố quetta của pakistan làm ít_nhất 20 người chết	3
Tin Tức	người phụ_nữ tử_vong khi đi tàu lượn siêu_tốc texas	người phụ_nữ tử_vong khi chơi tàu lượn siêu_tốc công_viên giải_trí texas	4
Tin Tức	công_nhân dầu_mỏ người scotland bị bắn chết brazil	công_nhân dầu_mỏ người anh bị giết brazil	3
Chính Trị	israel đồng_ý ngừng_bắn 12 giờ	israel đồng_ý ngừng_bắn 24 giờ gaza	3
Tin Tức	trận_động_đất 6,2 độ richter ngoài khơi đảo sumatra của indonesia usgs.	động_đất 6,9 độ richter ngoài khơi đảo indonesia	3
Tin Tức	obama ra_lệnh điều_tra vụ_tấn_công khí độc syria	lhq kêu_gọi thanh_tra vụ_tấn_công khí độc syria	2
Tin Tức	microsoft cho_biết cắt_giảm tới 18000 việc_làm	microsoft sa_thải 18000	3
Kinh Tế	dolce và gabbana bị phạt trong vụ án thuế	dolce và gabbana bị kết_án tù vì trốn_thuế	2
Tin Tức	hàng chục người vẫn mất_tích sau vụ cháy tàu canada	40 người vẫn mất_tích trong vụ tai_nạn tàu dầu chết người canada	3
Chiến Tranh	lính nato thiệt_mạng trong cuộc tấn_công afghanistan	lính nato thiệt_mạng trong cuộc_tấn_công của taliban afghanistan	3
Tin Tức	nổ nhà_máy phân_bón texas	nổ chết_người nhà_máy phân_bón texas	3
Tin Tức	động_đất mạnh tấn_công chile gây sóng_thần	động_đất mạnh tấn_công chile	3
Chính Trị	napolitano đắc_cử nhiệm_kỳ hai với tư_cách là tổng_thống	tổng_thống ý_napolitano đắc_cử nhiệm_kỳ hai	4
Chiến Tranh	mỹ cáo_buộc nga điều xe_tăng vào miền đông ukraine	nga điều xe_tăng tấn_công ukraine	3
Chính Trị	putin thách_thức mỹ về tuyên_bố syria	putin yêu_cầu mỹ chứng_minh syria sử_dụng vũ_khí hóa học	3
Chính Trị	triều_tiên trục_xuất người mỹ cao_tuổi	triều_tiên trục_xuất cựu_chiến_binh mỹ bị giam_giữ	2
Chính Trị	taliban tấn_công dinh tổng_thống afghanistan	tất_cả các tay_súng tấn_công dinh tổng_thống afghanistan bị tiêu_diệt	2
Chính Trị	bồi_thẩm đoàn trong phiên_tòa xét_xử george_zimmerman đối_mặt với nhiệm_vụ khó_khăn	bồi_thẩm đoàn xét_xử vụ án zimmerman	2
Chính Trị	tỷ_lệ thất_nghiệp eurozone đạt_mức cao kỷ_lục 12,2	tỷ_lệ thất_nghiệp mức_cao kỷ_lục châu âu	3
Tin Tức	tỷ_lệ cử_tri đi bỏ_phiếu thấp ai cập kéo_dài cuộc_bầu_cử tổng_thống thêm một ngày	bầu_cử tổng_thống ai cập bước sang ngày thứ	2
Tin Tức	triều_tiên chuẩn_bị thử hạt_nhân lần	triều_tiên có_thể đang chuẩn_bị báo_cáo thử hạt_nhân mới	2
Tin Tức	summers từ_bỏ_cuộc đua giành chức_vụ fed	cổ_phiếu nổi_lên nhờ việc summers rút_khỏi cuộc đua vào fed	1
Tin Tức	hàn_quốc mở_rộng vùng nhận_dạng phòng không trước trung_quốc	hàn_quốc tuyên_bố mở_rộng adiz chồng_lấn với các vùng khác	1
Xã Hội	các điều_kiện tốt cho nỗ_lực ổn_định của costa_concordia	các kỹ_sư bắt_đầu tham_vọng trục_vớt costa concordia ngoài khơi đảo	1
Tin Tức	trao_đổi trung_quốc myanmar kết_thúc tây_nam_trung_quốc myanmar chào_đón nhiều trao_đổi trung_quốc hơn	myanmar chào_đón nhiều trao_đổi trung_quốc hơn	3
Tin Tức	giữa các dấu_hiệu của thỏa_thuận kerry hướng_tới iran đàm_phán hạt_nhân	kerry hướng_tới geneva để đàm_phán hạt_nhân iran	3
Tin Tức	thẩm_phán liên_bang quy_định rằng hôn_nhân đồng_giới là hợp_pháp utah	thẩm_phán bãi_bỏ lệnh_cấm kết_hôn đồng giới của utah	4
Chính Trị	úc gửi quân_đội để_bảo_vệ đại_sứ_quán của mình baghdad	quân_đội được gửi đến để bảo_vệ đại_sứ_quán	2
Chính Trị	tổng_thống obama tìm_kiếm sự_chấp_thuận của quốc_hội trước khi hành_động syria	pháp chờ quốc_hội mỹ quyết_định về syria	2
Tin Tức	toyota honda nissan và mazda triệu_hồi triệu ô_tô nhật_bản sau lỗi túi khí	honda nissan và toyota triệu_hồi hàng_loạt lỗi túi khí	2
Tin Tức	pháp hoan_nghênh mỹ nga đạt thỏa_thuận về syria	mỹ nga đạt thỏa_thuận về syria	2
Tin Tức	thủ_tướng syria thoát khỏi âm_mưu ám_sát	thủ_tướng syria sống_sót sau âm_mưu ám_sát	4
Chính Trị	bầu_cử vòng hai bầu_cử tổng_thống afghanistan mở_cửa	afghanistan bắt_đầu vòng bầu_cử vòng hai bầu_cử tổng_thống	4
Tin Tức	29 người_chết trong ngày bạo_loạn sudan	những ngày đẫm máu sudan	3
Chính Trị	obama kiên_quyết không_kích syria	anh hối_thúc các nước về viện_trợ cho syria	1
Tin Tức	thủy_thủ thiệt_mạng trong vụ nổ tàu_ngầm ấn_độ	thủy_thủ ấn_độ thiệt_mạng sau vụ nổ tàu_ngầm và chìm	2
Tin Tức	người_chết trong các cuộc_đụng_độ cơ_đốc_giáo hồi_giáo ai cập	ai cập kêu_gọi bình_tĩnh sau các cuộc_đụng_độ chết_người cơ_đốc giáo hồi_giáo	1
Chính Trị	maldives bắt_đầu bầu_cử tổng_thống đầy tranh_cãi	maldives tổ_chức bầu_cử tổng_thống mới	3
Văn Học	nam_phi tưởng_nhớ nadine_gordimer	tác_giả nadine gordimer qua_đời tuổi 90	2
Tin Tức	21 bệnh_nhân cao_tuổi tử_vong trong vụ hỏa_hoạn hàn_quốc	cháy bệnh_viện dành_cho người_cao_tuổi khiến 21 người tử_vong hàn_quốc	3
Tin Tức	ít_nhất 18 người thiệt_mạng trong vụ đánh bom nhà_thờ hồi_giáo iraq	hơn 60 người thiệt_mạng trong đám_tang iraq	0
Tin Tức	máy_bay malaysia chở 239 người mất_tích	thủ_tướng malaysia nói vẫn chưa_có dấu_hiệu máy_bay mất_tích	2
Tin Tức	máy_bay malaysia_airlines mất_tích	máy_bay chở khách của malaysia_airlines có_thể bị rơi	3
Chính Trị	người bị_thương trong vụ_tấn_công của các tay súng kabul	các tay_súng tấn_công nhà_thờ hồi_giáo shi ite kabul	2
Tin Tức	cảnh_sát thổ_nhĩ_kỳ bắn hơi_cay vòi_rồng để giải_tỏa công_viên	cảnh_sát chống bạo_động giải_tán người biểu_tình công_viên istanbul	3
Chính Trị	cuộc_bầu_cử tổng_thống afghanistan sẽ diễn ra vào tháng	ban bầu_cử afghanistan công_bố kết_quả cuối_cùng	2
Chính Trị	osborne nói rằng không_lo_lắng về giá nhà	osborne nói rằng thâm_hụt có_thể_được xóa_bỏ mà không cần tăng thêm thuế	1
Tin Tức	mười người được_cứu ngoài khơi bờ biển waterford dublin	sáu người được_cứu sau khi thuyền bị lật vịnh dublin	3
Thể Thao	putin tuyên_bố khai_mạc thế vận_hội mùa đông sochi	putin khai_mạc thế vận_hội dành_cho người_khuyết_tật khi cuộc biểu_tình diễn ra	3
Tin Tức	đột_kích mại_dâm trẻ_em giải_cứu 105 thanh_niên	mỹ truy_quét mại_dâm trẻ_em khiến fbi bắt_giữ 150 người	3
Chính Trị	pháp có đường_lối cứng_rắn trong đàm_phán hạt_nhân iran	ngoại_trưởng nhật thăm iran để đàm_phán	2
Tin Tức	tay_súng giết du_khách nước_ngoài người pakistan	tay_súng xông_vào khách_sạn giết người nước_ngoài	3
Chính Trị	quốc_hội ukraine bỏ_phiếu phế_truất tổng_thống	thủ_lĩnh phe_đối_lập ukraine muốn có thêm biểu_tình	2
Chính Trị	hạ_viện thái giải_tán biểu_tình vẫn dai_dẳng	thủ_tướng thái giải_tán quốc_hội	4
Tin Tức	an_ninh thắt_chặt tại chung_kết hoa_hậu thế_giới indonesia	hàng chục người vẫn mất_tích sau vụ chìm thuyền indonesia	1
Chính Trị	obama hollande chào_mừng quan_hệ mỹ pháp đã thay_đổi	hollande đến_thăm cấp nhà_nước hoa_kỳ	1
Chính Trị	quốc_hội nga cho_phép putin dùng quân_sự ukraine	tổng_thống obama cảnh_báo nga tránh xa ukraine	1
Chính Trị	người_biểu_tình brazil tuần_hành 80 thành_phố	các cuộc biểu_tình brazil đánh vào sự_thất_vọng của những người không có nhà_cửa	1
Chiến Tranh	hàng trăm người bị bao_vây trong nhà_thờ hồi_giáo fateh của ai cập	hàng chục người_chết trong cuộc_tắm_máu ai cập	1
Tin Tức	mỹ xác_định mức_độ sử_dụng vũ_khí hóa học của syria	những gì chúng_ta biết cho đến nay về vũ_khí hóa học trong cuộc nội_chiến syria	2
Chính Trị	tỷ_phú tuyên_bố chiến_thắng ukraine và hứa tìm_kiếm tương_lai eu.	các điểm bỏ_phiếu mở tại cuộc bầu_cử tổng_thống ukraine	0
Tin Tức	cuộc_chiến ngấm_ngầm pakistan	động_đất lớn mới rung_chuyển tây nam pakistan	0
Tin Tức	obama ca_ngợi hiệu_ứng truyền_cảm_hứng của mandela obama gặp gia_đình mandela	obama gặp gia_đình mandela	2
Chính Trị	nỗ_lực cứu_hộ tiếp_tục trong thảm_họa phà hàn_quốc	sự_tức_giận lan_rộng về vụ chìm phà hàn_quốc	1
Thị Trường	chứng_khoán ấn_độ mở_cửa thấp hơn	chứng_khoán ấn_độ đóng_cửa thấp hơn	1
Thị Trường	chứng_khoán ấn_độ đóng_cửa thấp hơn	chứng_khoán ấn_độ đóng_cửa cao hơn	2
Tin Tức	10 điều cần biết cho thứ_tư	10 điều cần biết cho ngày hôm_nay	2
Chính Trị	tổng_chưởng_lý hoa_kỳ holder từ_chức	tổng_chưởng_lý hoa_kỳ eric_holder từ_chức	4
Tin Tức	động_đất 7,3 độ richter tàn_phá nepal	động_đất 7,9 độ richter tàn_phá nepal	4
Chiến Tranh	ngừng_bắn gaza kết_thúc	lệnh ngừng_bắn gaza đang được tiến_hành	3
Kinh Tế	cổ_phiếu singapore mở_cửa cao_hơn 0,83 vào thứ tư	cổ_phiếu singapore mở_cửa thấp_hơn 0,06 vào thứ ba	1
Tin Tức	người_chết nhiều người bị_thương trong vụ tai_nạn xe_hơi tây_nam_trung_quốc	hai người_chết 17 người bị_thương trong vụ tai_nạn đường raiwind	1
Thể Thao	biểu_tình nổ_ra trong thế vận_hội bản_địa thế_giới brazil	biểu_tình trước ngày khai_mạc thế vận_hội bản_địa thế_giới	1
Tin Tức	sáu thường_dân thiệt_mạng trong giao_tranh mới miền đông ukraine	người thiệt_mạng trong giao_tranh miền đông ukraine	3
Khoa Học	mũ_bảo_hiểm của shellios technolabs giúp người_lái_xe môtô bảo_vệ sức_khỏe khi tham_gia giao_thông trên những con_đường đầy_ắp khói bụi	giúp con_người tham_gia giao_thông trên con_đường đầy_ắp khói bụi là mũ bảo_hiểm của shellios_technolabs	3
Khoa Học	robot oceanonek của phòng_thí_nghiệm stanford robotics có_thể lặn sâu một kilomet để thu_hồi cổ_vật thám_hiểm xác tàu đắm và sửa_chữa công_trình dưới biển	phòng_thí_nghiệm stanfort robotics phát_minh_ra robot oceanonek có_thể lặn sâu một kilomet để thu_hồi cổ_vật thám_hiểm xác tàu đắm và sửa_chữa công_trình dưới biển	4
Khoa Học	khoa_học giúp con_người phát_triển về nhiều mặt của đời_sống	con_người có cuộc_sống tốt_hơn nhờ sự phát_triển của khoa_học	3
Khoa Học	ngày 20 1969 armstrong trở_thành người_đầu_tiên đặt_chân xuống mặt_trăng	người_đầu_tiên đặt_chân xuống mặt_trăng là armstrong	3
Khoa Học	những_hóa thạch càng cổ thì càng nằm sâu dưới các lớp đá	công_viên_hóa thạch khủng_long nằm tại tỉnh alberta của canada được ví_như một thánh_địa của loài khủng_long	2
Khoa Học	than_đá là khoáng_sản của việt_nam	tha đá tập chung nhiều nhất quang_ninh	2
Khoa Học	mặt_trăng xoay quanh trái_đất	trái_đất có 70 bề_mặt là nước	1
Khoa Học	vaccin covid là một phát_minh lớn giúp con_người thoát_khỏi sự_diệt_vong do covid gây ra	vaccine_pfizer bnt162b2 là một trong số những ứng_cử_viên hứa_hẹn nhất trong cuộc_đua sản_xuất vắc xin phòng đại_dịch covid 19	1
Khoa Học	phát_hiện trứng khủng_long chứa pha_lê tại trung_quốc	tiêm_vắc_xin phòng_chống cúm bắt_đầu_vào những năm 1930 với quy_mô lớn hoa_kỳ bắt_đầu vào năm 1945	0
